Filename,Species,MeanPhoto,TreeID
D01E_acru_can01_07222018,acru,2.42,1EA1
D01E_acru_can02_07222018,acru,3.99,1EA1
D01E_acru_can03_07222018,acru,2.382,1EA1
D01E_acru_can04_07222018,acru,5.812,1EA2
D01E_acru_can05_07222018,acru,5.672,1EA2
D01E_acru_can06_07222018,acru,2.486,1EA2
D01E_acru_can07_07222018,acru,4.118,1EA3
D01E_acru_can08_07222018,acru,3.178,1EA3
D01E_acru_can09_07222018,acru,6.078,1EA3
D01E_pogr_can01_07222018,pogr,8.834,1EP1
D01E_pogr_can02_07222018,pogr,12.56,1EP1
D01E_pogr_can03_07222018,pogr,13.56,1EP1
D01E_pogr_can04_07222018,pogr,10.62,1EP2
D01E_pogr_can05_07222018,pogr,9.746,1EP2
D01E_pogr_can06_07222018,pogr,6.116,1EP2
D01E_pogr_can07_07222018,pogr,13.3,1EP3
D01E_pogr_can08_07222018,pogr,13.12,1EP3
D01E_pogr_can09_07222018,pogr,15.86,1EP3
D01E_quru_can01_07222018,quru,13.58,1EQ1
D01E_quru_can02_07222018,quru,13.74,1EQ1
D01E_quru_can03_07222018,quru,12.02,1EQ1
D01E_quru_can04_07222018,quru,9.01375,1EQ2
D01E_quru_can05_07222018,quru,8.113,1EQ2
D01E_quru_can06_07222018,quru,6.82,1EQ2
D01E_quru_can07_07222018,quru,10.32,1EQ3
D01E_quru_can08_07222018,quru,8.574,1EQ3
D01E_quru_can09_07222018,quru,11.06,1EQ3
D01W_acru_can01_07232018,acru,2.132,1WA1
D01W_acru_can02_07232018,acru,4.748,1WA1
D01W_acru_can03_07232018,acru,4.172,1WA1
D01W_acru_can04_07232018,acru,3.596,1WA2
D01W_acru_can05_07232018,acru,1.958,1WA2
D01W_acru_can06_07232018,acru,1.346,1WA2
D01W_acru_can07_07232018,acru,2.876,1WA3
D01W_acru_can08_07232018,acru,3.786,1WA3
D01W_acru_can09_07232018,acru,5.262,1WA3
D01W_pogr_can01_07232018,pogr,13.37,1WP1
D01W_pogr_can02_07232018,pogr,15.54,1WP1
D01W_pogr_can03_07232018,pogr,16.3,1WP1
D01W_pogr_can04_07232018,pogr,15.4,1WP2
D01W_pogr_can05_07232018,pogr,13.54,1WP2
D01W_pogr_can06_07232018,pogr,15.24,1WP2
D01W_pogr_can07_07232018,pogr,16.46,1WP3
D01W_pogr_can08_07232018,pogr,16.66,1WP3
D01W_pogr_can09_07232018,pogr,15.48,1WP3
D01W_quru_can01_07232018,quru,8.928,1WQ1
D01W_quru_can02_07232018,quru,10.66,1WQ1
D01W_quru_can03_07232018,quru,10.48,1WQ1
D01W_quru_can04_07232018,quru,12.64,1WQ2
D01W_quru_can05_07232018,quru,6.878,1WQ2
D01W_quru_can06_07232018,quru,9.282,1WQ2
D01W_quru_can07_07232018,quru,13.02,1WQ3
D01W_quru_can08_07232018,quru,9.258,1WQ3
D01W_quru_can09_07232018,quru,9.892,1WQ3
D02E_acru_can01_07182018,acru,8.986,2EA1
D02E_acru_can02_07182018,acru,10.16,2EA1
D02E_acru_can03_07182018,acru,7.362,2EA1
D02E_acru_can04_07182018,acru,8.2,2EA1
D02E_acru_can05_07182018,acru,10.36,2EA1
D02E_acru_can06_07192018,acru,0.9738,2EA2
D02E_acru_can07_07192018,acru,4.96,2EA2
D02E_acru_can08_07192018,acru,5.886,2EA2
D02E_acru_can09_07192018,acru,2.302,2EA3
D02E_acru_can10_07192018,acru,1.29,2EA3
D02E_acru_can11_07192018,acru,1.896,2EA3
D02E_pogr_can01_07182018,pogr,8.494,2EP1
D02E_pogr_can02_07182018,pogr,11.5,2EP1
D02E_pogr_can03_07182018,pogr,9.602,2EP1
D02E_pogr_can04_07182018,pogr,10,2EP1
D02E_pogr_can05_07182018,pogr,12.66,2EP1
D02E_pogr_can06_07192018,pogr,-9.583333333,2EP2
D02E_pogr_can07_07192018,pogr,16.04,2EP2
D02E_pogr_can08_07192018,pogr,16.2,2EP2
D02E_pogr_can09_07192018,pogr,14.95333333,2EP3
D02E_pogr_can10_07192018,pogr,18,2EP3
D02E_pogr_can11_07192018,pogr,16.42,2EP3
D02E_quru_can01_07182018,quru,8.086,2EQ1
D02E_quru_can02_07182018,quru,8.188,2EQ1
D02E_quru_can03_07182018,quru,10.14,2EQ1
D02E_quru_can04_07182018,quru,11,2EQ1
D02E_quru_can05_07182018,quru,10.9,2EQ1
D02E_quru_can06_07182018,quru,12.3,2EQ2
D02E_quru_can07_07182018,quru,8.694,2EQ2
D02E_quru_can08_07182018,quru,14.14,2EQ2
D02E_quru_can09_07182018,quru,12.46,2EQ2
D02E_quru_can10_07182018,quru,14.58,2EQ2
D02E_quru_can11_07192018,quru,7.862,2EQ3
D02E_quru_can12_07192018,quru,9.184,2EQ3
D02E_quru_can13_07192018,quru,9.882,2EQ3
D02W_acru_can01_07182018,acru,1.714,2WA1
D02W_acru_can02_07182018,acru,2.122,2WA1
D02W_acru_can03_07182018,acru,2.472,2WA1
D02W_acru_can04_07182018,acru,3.056,2WA1
D02W_acru_can05_07182018,acru,1.526,2WA1
D02W_acru_can06_07182018,acru,3.048,2WA2
D02W_acru_can07_07182018,acru,2.84,2WA2
D02W_acru_can08_07182018,acru,3.572,2WA2
D02W_acru_can09_07182018,acru,5.472,2WA2
D02W_acru_can10_07182018,acru,1.194,2WA2
D02W_acru_can11_07182018,acru,2.26565,2WA3
D02W_acru_can12_07182018,acru,2.344,2WA3
D02W_acru_can13_07182018,acru,2.87,2WA3
D02W_acru_can14_07182018,acru,4.432,2WA3
D02W_acru_can15_07182018,acru,4.288,2WA3
D02W_pogr_can01_07172018,pogr,15.48,2WP1
D02W_pogr_can02_07172018,pogr,17.04,2WP1
D02W_pogr_can03_07172018,pogr,17.12,2WP1
D02W_pogr_can04_07172018,pogr,14.6,2WP1
D02W_pogr_can05_07172018,pogr,20.16,2WP1
D02W_pogr_can06_07182018,pogr,14.46,2WP2
D02W_pogr_can07_07182018,pogr,14.38,2WP2
D02W_pogr_can08_07182018,pogr,15.8,2WP2
D02W_pogr_can09_07182018,pogr,18.28,2WP2
D02W_pogr_can10_07182018,pogr,19.75,2WP2
D02W_pogr_can11_07182018,pogr,15.6,2WP3
D02W_pogr_can12_07182018,pogr,14.42,2WP3
D02W_pogr_can13_07182018,pogr,20.42,2WP3
D02W_pogr_can14_07182018,pogr,14.68,2WP3
D02W_pogr_can15_07182018,pogr,12.66,2WP3
D02W_quru_can01_07172018,quru,16.78,2WQ1
D02W_quru_can02_07172018,quru,12.18,2WQ1
D02W_quru_can03_07172018,quru,16.58,2WQ1
D02W_quru_can04_07172018,quru,15.46,2WQ1
D02W_quru_can05_07172018,quru,16.56,2WQ1
D02W_quru_can06_07172018,quru,14.22,2WQ2
D02W_quru_can07_07172018,quru,10.95,2WQ2
D02W_quru_can08_07172018,quru,10.22,2WQ2
D02W_quru_can09_07172018,quru,12.08,2WQ2
D02W_quru_can10_07172018,quru,14.28,2WQ2
D02W_quru_can11_07182018,quru,6.286,2WQ3
D02W_quru_can12_07182018,quru,9.784,2WQ3
D02W_quru_can13_07182018,quru,5.2,2WQ3
D02W_quru_can14_07182018,quru,8.716,2WQ3
D02W_quru_can15_07182018,quru,6.63,2WQ3
D03E_acru_can01_07202018,acru,4.348,3EA1
D03E_acru_can02_07202018,acru,7.032,3EA1
D03E_acru_can03_07202018,acru,3.066,3EA1
D03E_acru_can04_07202018,acru,6.47,3EA2
D03E_acru_can05_07202018,acru,4.012,3EA2
D03E_acru_can06_07202018,acru,4.906,3EA2
D03E_acru_can07_07202018,acru,10.2,3EA3
D03E_acru_can08_07202018,acru,10.48,3EA3
D03E_acru_can09_07202018,acru,11.2,3EA3
D03E_pogr_can01_07202018,pogr,12.52,3EP1
D03E_pogr_can02_07202018,pogr,12.14,3EP1
D03E_pogr_can03_07202018,pogr,13.12,3EP1
D03E_pogr_can04_07202018,pogr,14.22,3EP2
D03E_pogr_can05_07202018,pogr,14.68,3EP2
D03E_pogr_can06_07202018,pogr,13.06,3EP2
D03E_pogr_can07_07202018,pogr,6.878,3EP3
D03E_pogr_can08_07202018,pogr,7.447,3EP3
D03E_pogr_can09_07202018,pogr,9.693,3EP3
D03E_quru_can01_07202018,quru,8.168,3EQ1
D03E_quru_can02_07202018,quru,10.68,3EQ1
D03E_quru_can03_07202018,quru,11.04,3EQ1
D03E_quru_can04_07202018,quru,10.16,3EQ2
D03E_quru_can05_07202018,quru,13.02,3EQ2
D03E_quru_can06_07202018,quru,10.1,3EQ2
D03E_quru_can07_07202018,quru,11.23,3EQ3
D03E_quru_can09_07202018,quru,8.696,3EQ3
D03E_quru_can10_07202018,quru,9.66,3EQ3
D03W_acru_can01_07222018,acru,1.674,3WA1
D03W_acru_can02_07222018,acru,3.624,3WA1
D03W_acru_can03_07222018,acru,3.294,3WA1
D03W_acru_can04_07222018,acru,6.956,3WA2
D03W_acru_can05_07222018,acru,12.64,3WA2
D03W_acru_can06_07222018,acru,10.52,3WA2
D03W_acru_can07_07222018,acru,15.18,3WA3
D03W_acru_can08_07222018,acru,5.902,3WA3
D03W_acru_can09_07222018,acru,11.1,3WA3
D03W_pogr_can01_07222018,pogr,14.73,3WP1
D03W_pogr_can02_07222018,pogr,16.62,3WP1
D03W_pogr_can03_07222018,pogr,13.8,3WP1
D03W_pogr_can04_07222018,pogr,16,3WP2
D03W_pogr_can05_07222018,pogr,12.72,3WP2
D03W_pogr_can06_07222018,pogr,12.86,3WP2
D03W_pogr_can07_07222018,pogr,12.98,3WP3
D03W_pogr_can08_07222018,pogr,15.4,3WP3
D03W_pogr_can09_07222018,pogr,16.9,3WP3
D03W_pogr_can10_07222018,pogr,9.016,3WP2
D03W_quru_can01_07222018,quru,13.04,3WQ1
D03W_quru_can02_07222018,quru,6.156,3WQ1
D03W_quru_can03_07222018,quru,12.1,3WQ1
D03W_quru_can04_07222018,quru,19.84,3WQ2
D03W_quru_can05_07222018,quru,16.18,3WQ2
D03W_quru_can06_07222018,quru,18.82,3WQ2
D03W_quru_can07_07222018,quru,12.66,3WQ3
D03W_quru_can08_07222018,quru,17.42,3WQ3
D03W_quru_can09_07222018,quru,10.12,3WQ3
D04E_acru_can01_07192018,acru,6.864,4EA1
D04E_acru_can02_07192018,acru,4.928,4EA1
D04E_acru_can03_07192018,acru,5.862,4EA1
D04E_acru_can04_07192018,acru,2.868,4EA2
D04E_acru_can05_07192018,acru,1.91,4EA2
D04E_acru_can06_07192018,acru,2.238,4EA2
D04E_acru_can07_07192018,acru,1.842,4EA3
D04E_acru_can08_07192018,acru,6.72,4EA3
D04E_acru_can09_07192018,acru,1.884,4EA3
D04E_pogr_can01_07192018,pogr,14.62,4EP1
D04E_pogr_can02_07192018,pogr,13.58,4EP1
D04E_pogr_can03_07192018,pogr,14.9,4EP1
D04E_pogr_can04_07192018,pogr,15.22,4EP2
D04E_pogr_can05_07192018,pogr,5.254,4EP2
D04E_pogr_can06_07192018,pogr,11.3,4EP2
D04E_pogr_can07_07192018,pogr,14.6,4EP3
D04E_pogr_can08_07192018,pogr,13.38,4EP3
D04E_pogr_can09_07192018,pogr,13.36,4EP3
D04E_quru_can01_07192018,quru,9.014,4EQ1
D04E_quru_can02_07192018,quru,8.58,4EQ1
D04E_quru_can03_07192018,quru,10.7,4EQ1
D04E_quru_can04_07192018,quru,11.84,4EQ2
D04E_quru_can05_07192018,quru,8.636,4EQ2
D04E_quru_can06_07192018,quru,10.12,4EQ2
D04E_quru_can07_07192018,quru,12.4,4EQ3
D04E_quru_can08_07192018,quru,12.18,4EQ3
D04E_quru_can09_07192018,quru,15.02,4EQ3
D04W_acru_can01_07202018,acru,0.10758,4WA1
D04W_acru_can02_07202018,acru,2.622,4WA1
D04W_acru_can03_07202018,acru,1.214,4WA1
D04W_acru_can04_07202018,acru,8.47,4WA2
D04W_acru_can05_07202018,acru,8.086,4WA2
D04W_acru_can06_07202018,acru,8.902,4WA2
D04W_acru_can07_07202018,acru,5.564,4WA3
D04W_acru_can08_07202018,acru,5.402,4WA3
D04W_acru_can09_07202018,acru,7.582,4WA3
D04W_pogr_can01_07192018,pogr,12.48,4WP1
D04W_pogr_can02_07192018,pogr,10.52,4WP1
D04W_pogr_can03_07192018,pogr,9.778,4WP1
D04W_pogr_can04_07192018,pogr,4.622,4WP2
D04W_pogr_can05_07192018,pogr,7.854,4WP2
D04W_pogr_can06_07192018,pogr,10.8,4WP2
D04W_pogr_can07_07202018,pogr,10.34791,4WP3
D04W_pogr_can08_07202018,pogr,15.44,4WP3
D04W_pogr_can09_07202018,pogr,10.6,4WP3
D04W_quru_can01_07202018,quru,11.78,4WQ1
D04W_quru_can02_07202018,quru,9.929,4WQ1
D04W_quru_can03_07202018,quru,12.7,4WQ1
D04W_quru_can04_07202018,quru,10.87142857,4WQ2
D04W_quru_can05_07202018,quru,11.95,4WQ2
D04W_quru_can06_07202018,quru,15.62,4WQ2
D04W_quru_can07_07202018,quru,15.6,4WQ3
D04W_quru_can08_07202018,quru,12.1,4WQ3
D04W_quru_can09_07202018,quru,15.68,4WQ3
